Región,Comuna,Ubicación,Nombre,Horario,¿Qué recibe?,Info adicional,Mapa
Valparaíso,,La Concepción 594,Cruz Roja,"Sábado hasta las 18 hrs., domingo desde las 11 hasta las 18 hrs.","Agua embotellada, para bombero preferentemente de litro o 1/2 individual, bebidas isotónicas, barras de cereal o proteína, alimento para mascotas.",,https://maps.app.goo.gl/rDi2Cb5QJpXLnuup6
Valparaíso,,Av. Dueñas 134,Centro Comunitario y Cultural de San Pedro,Domingo desde las 10 a las 14 hrs.,"Agua embotellada, para bombero preferentemente de litro o 1/2 individual, bebidas isotónicas, barras de cereal o proteína, alimento para mascotas.",,https://maps.app.goo.gl/xeKmrYCb6DRtEbZz9
Valparaíso,La Ligua,Diego Portales 555,Edificio Municipal,,"Alimentos no perecibles, agua embotellada, útiles de aseo personal, alimentos para mascotas.",,https://maps.app.goo.gl/WE2GhkpHn7H7XSsP7
Valparaíso,,Acceso Poniente,Recinto Expo La Ligua,,"Alimentos no perecibles, agua embotellada, útiles de aseo personal, alimentos para mascotas.",,https://maps.app.goo.gl/Gta5bgUpZ3zb6FFd8
Valparaíso,La Calera,Marathon 312,Jardines municipales,Desde el 3 de febrero,"Alimentos no perecibles, alimentos para mascotas, agua.",,https://maps.app.goo.gl/HApwyi6LuUFJhDcv5
Valparaíso,Calle Larga,La Pampilla 164,Dideco,"Sábado 3, domingo 4 y resto de la semana, de 9 a 17:30 hrs.","Alimentos no perecibles, botellas de agua, artículos de aseo.",,https://maps.app.goo.gl/TQg5hdaRMGY7CASJ8
Valparaíso,Los Andes,,Espacio Urbano,En su horario de funcionamiento.,"Agua embotellada, artículos de aseo, alimentos para mascotas.",,https://maps.app.goo.gl/kjCz1Vyo1XUaWCGv7
Valparaíso,Rinconada,,Carpa Frontis de la Municipalidad,"Lunes 5 a miércoles 7, desde las 8:30 a 14 hrs y de 15 a 17 hrs.","Bebidas isotónicas, alimentos no perecibles, alimentos instantáneos, pañales para niños y adultos, agua envasada, útiles de aseo, bolsas de basura, barras de cereales, alimentos para mascotas.",,https://maps.app.goo.gl/tUnMYJ25fXM9aB1r6
Valparaíso,San Esteban,,Salón José Lazcano,"A contar del lunes 5 de febrero, 8:30 horas.","Agua, útiles de aseo.",,https://maps.app.goo.gl/2E8j3EHj8QM49exx6
Valparaíso,Cabildo,,Cuerpo de Bomberos de Cabildo,Desde las 14 hrs se retiran donaciones a domicilio.  Llamar 974666923.,"Agua embotellada, útiles de aseo, pañales, toallas higiénicas, frazadas.",,https://maps.app.goo.gl/K1iBv9UXq3LrXdRT6
RM,Cerrillos,Las Hortensias 400,Municipalidad de Cerrillos,Sábado 3 y domingo 4 de 12 a 19 hrs.,"Agua envasada, alimentos no perecibles, bebidas isotónicas, kit de aseo (cepillos de dientes, jabón, shampoo, toallas higiénicas, etc.), mascarillas.",@municerrillos,https://maps.app.goo.gl/CWCt3McUcg3UKrN19
RM,,Av. Américo Vespucio 1501,Sodimac Homecenter Mall Plaza Oeste,10 a 20 hrs.,"Útiles de aseo, toallas higiénicas, leche fórmula para bebés, leche líquida en cajas, aguas 2 litros, alimentos no perecibles, sillas de ruedas, vasos, barras de cereal.",,https://maps.app.goo.gl/TnWidoeBvjE3kNDt6
RM,Cerro Navia,Del Consistorial N°6645,Municipalidad de Cerro Navia,24/7 hasta el viernes 9,"Agua de 5 litros o más, Útiles de aseo, Alimentos para mascotas NUEVOS Y SELLADOS",,https://maps.app.goo.gl/VSy75mURo1sA3nSo8
RM,,Huelén N°1977,Sede municipalidad Huelén,24/7 hasta el viernes 9,"Agua de 5 litros o más, Útiles de aseo, Alimentos para mascotas NUEVOS Y SELLADOS",,https://maps.app.goo.gl/5WE2PKd6CaxjJ4ZK6
RM,,Avenida Mapocho Norte N°8115,Gimnasio Municipal Cerro Navia,24/7 hasta el viernes 9,"Agua de 5 litros o más, Útiles de aseo, Alimentos para mascotas NUEVOS Y SELLADOS",,https://maps.app.goo.gl/KToDqwd6jtDjxdKd6
RM,Colina,La Inmaculada Concepción 640,Municipalidad de Colina,Lunes a viernes de 9 a 21 hrs.,"Agua embotellada, ropa de abrigo, alimentos no perecibles, pañales, barras de cereales, toallas higiénicas, útiles de aseo, guantes y palas.",,https://maps.app.goo.gl/QhQEPLgCAo92coSEA
RM,Conchalí,Independencia 3331,Centro Cultural Leganés,Domingo a viernes - 11 a 18 hrs.,"Colchones y frazadas, alimentos listos para servir (para voluntarios, albergados y vecinos), útiles de aseo personal, toallas, elementos de protección personal como guantes, bloqueador, zapatos, antiparras.",,https://maps.app.goo.gl/2BHgudWvaDNJhfk98
RM,Estación Central,Alameda 3920,Edificio Consistorial de la Municipalidad de Estación Central,Sabado 3 y Domingo 4 de 11-16 hrs,"Colchones, frazadas (en buen estado), agua, alimentos no perecibles, articulos de aseo personal, pañales",@muniecentral,https://maps.app.goo.gl/ceHXxHDBk1ZAW8K77
RM,Huechuraba,Av. Recoleta 5640,Atención al vecino Municipalidad de Huechuraba,"Lunes a viernes de 9 a 13:30, y de 15:30 a 16:30 hrs.",Solo agua sellada y sin gas.,,https://maps.app.goo.gl/uJ7x9QhuyWJCyBnDA
RM,,San Pedro de Atacama 2058,Sede Poniente,Lunes a viernes de 9 a 13:30 hrs. y de 15:30 a 16:30 hrs.,Solo agua sellada y sin gas.,,https://maps.app.goo.gl/VgEMBfqi6UzRkDc97
RM,,Av. Pedro Fontova 7789,Supermercado Santa Isabel,"Lunes a viernes de 9 a 13:30 hrs, y de 15:30 a 19 hrs.",Solo agua sellada y sin gas.,,https://maps.app.goo.gl/ZNk6Zbv1e4kPsiPk6
